出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1131117,11310,2614,東森,其他,478190,459592,501743,4.046632665494613,-4.694235894,4731766,4818371,-1.797391691,-
1131117,11310,2615,萬海,航運業,13779122,14965985,8170544,-7.930403512,68.64387488,134052204,83246162,61.03109234032915,運價較去年同期上漲
1131117,11310,2616,山隆,油電燃氣業,666468,668022,1360633,-0.232627069,-51.01779833,9404598,13584592,-30.77011073,山隆近期因進行油站相關設備更換作業，於更換期間發油量減少影響相關營收
1131117,11310,2617,台航,航運業,379658,359030,358417,5.745480879035178,5.926337199407394,3685773,3272964,12.612696014988249,-
1131117,11310,2618,長榮航,航運業,18236042,17357692,17525306,5.060292578068559,4.055484109664048,182685438,163823681,11.513449633694899,-
1131117,11310,2630,亞航,航運業,331644,524120,420778,-36.72365107,-21.1831417,4259237,3995568,6.599036732699831,-
1131117,11310,2633,台灣高鐵,航運業,4120049,4456901,4396204,-7.557987041,-6.281669367,43870539,41042709,6.889969178204099,-
1131117,11310,2634,漢翔,航運業,3244624,2552613,3204303,27.109906593753145,1.258339177037877,31261481,32664287,-4.294616931,-
1131117,11310,2636,台驊控股,航運業,2138894,2341102,1331130,-8.63729987,60.68257796007903,21257136,11942197,78.00021218876225,運價與貨量較去年同期增加所致
1131117,11310,2637,慧洋-KY,航運業,1689193,1772075,1617652,-4.677115811,4.422521036663015,17399343,13709120,26.918015160710535,-
1131117,11310,2642,宅配通,航運業,294808,335803,315960,-12.20805055,-6.694518293,3337907,3451415,-3.288738097,-
1131117,11310,2645,長榮航太,航運業,1369598,1307973,1320815,4.711488692809408,3.6934014226064966,13079483,12362337,5.801055253549551,-
1131117,11310,2646,星宇航空,航運業,3098123,2818695,2087041,9.913381901908508,48.445718124368426,29025342,18042571,60.87143013043983,客運營收穩定成長。
1131117,11310,2701,萬企,觀光餐旅,18846,19523,23163,-3.467704758,-18.63748219,250738,250672,0.026329227037722603,-
1131117,11310,2702,華園,觀光餐旅,135302,122970,140025,10.028462226559324,-3.372969113,1223066,1212634,0.86027606,-
1131117,11310,2704,國賓,觀光餐旅,95554,129632,97484,-26.28826216,-1.979812072,1072452,1070484,0.18384207517347292,-
1131117,11310,2705,六福,觀光餐旅,217972,168201,218942,29.590192686131473,-0.443039709,1840685,1772038,3.8739011240165278,-
1131117,11310,2706,第一店,觀光餐旅,28837,28903,29216,-0.228349998,-1.297234392,294320,283304,3.8884025640301583,-
1131117,11310,2707,晶華,觀光餐旅,479528,521415,541028,-8.033332374,-11.36724901,5064958,5508537,-8.052573669,註:太魯閣晶英受0403地震及颱風影響，暫停營業
1131117,11310,2712,遠雄來,觀光餐旅,28513,34258,52202,-16.76980559,-45.37948738,279320,569992,-50.99580345,受地震、颱風及交通管制影響，導致花蓮遊客人數大幅減少。
1131117,11310,2722,夏都,觀光餐旅,39891,46968,50522,-15.06770567,-21.0423182,551729,671485,-17.83450114,-
1131117,11310,2723,美食-KY,觀光餐旅,1576926,1618674,1633086,-2.579148118,-3.438888093,15639835,17023875,-8.129993906,-
1131117,11310,2727,王品,觀光餐旅,1727514,1783234,1800124,-3.124660028,-4.033611018,18395505,18554135,-0.854957668,-
1131117,11310,2731,雄獅,觀光餐旅,2363992,2632574,2606094,-10.20225832,-9.289841426,23746339,18054287,31.527426145380318,受惠政府解除組團禁令，觀光需求活絡致出境團體旅遊業績大幅提升。
1131117,11310,2739,寒舍,觀光餐旅,414043,396536,413923,4.414983759356023,0.028990899,4046323,3862854,4.7495711719883795,-
1131117,11310,2748,雲品,觀光餐旅,189157,187066,212038,1.1177873050153422,-10.79099029,1944763,1851965,5.010785840985116,-
1131117,11310,2753,八方雲集,觀光餐旅,705435,671862,656274,4.997008314207382,7.490926046,6597508,6079459,8.521300991,-
1131117,11310,2762,世界健身-KY,運動休閒,831554,819936,805296,1.4169398587206807,3.2606644016610042,8106683,7827114,3.571801816097223,-
1131117,11310,2801,彰銀,金融保險業,3074788,3482721,3117120,-11.71305425,-1.358048455,35146105,32488350,8.180640137156857,-
1131117,11310,2809,京城銀,金融保險業,559800,816141,564717,-31.40891096,-0.870701608,7759218,7979993,-2.766606437,-
1131117,11310,2812,台中銀,金融保險業,1614678,1473000,1353282,9.618329938900203,19.315708034245635,16016985,14247629,12.41859961401297,-
1131117,11310,2816,旺旺保,金融保險業,951643,854790,781647,11.330619216415728,21.748436314602372,9068521,8387927,8.113971425836205,-
1131117,11310,2820,華票,金融保險業,175690,172286,103835,1.975784451435404,69.20113641835604,1920771,1775851,8.160594554385474,主係本年交易股票及債券賣斷獲利較高
1131117,11310,2832,台產,金融保險業,569449,615067,561873,-7.416752972,1.3483474023489295,6191385,5688428,8.841757336121685,-
1131117,11310,2834,臺企銀,金融保險業,2326785,3238422,2587709,-28.15065486,-10.08320487,28839608,26757052,7.7832042184617345,-
1131117,11310,2836,高雄銀,金融保險業,339734,366876,289072,-7.398139971,17.52573753251785,3627236,3217207,12.744874669239499,-
1131117,11310,2838,聯邦銀,金融保險業,1269737,1581608,1285305,-19.71860284,-1.211230019,16314567,14585988,11.850955862571668,-
1131117,11310,2845,遠東銀,金融保險業,1112100,964237,953894,15.334715427846058,16.585280964132284,11022844,10775311,2.2972237181831687,-
1131117,11310,2849,安泰銀,金融保險業,416345,516176,472769,-19.34049626,-11.93479268,4634871,4937772,-6.134365864,-
1131117,11310,2850,新產,金融保險業,1752373,1759652,1660596,-0.413661338,5.526750636518455,17394232,16691454,4.210406115608622,-
1131117,11310,2851,中再保,金融保險業,1923433,1867888,1803183,2.9736793640732206,6.668762959721781,19251506,18463346,4.268782050664056,-
1131117,11310,2852,第一保,金融保險業,670520,595431,606932,12.61086507084784,10.476956232329156,6542637,6123355,6.847259386,-
